"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 20:32:33 GMT 2024","Tue Mar 05 20:32:35 GMT 2024","1535","Google Chrome","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:31:59 GMT 2024","Tue Mar 05 20:32:14 GMT 2024","14993","Microsoft Edge","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:31:47 GMT 2024","Tue Mar 05 20:31:48 GMT 2024","1481","Chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:31:40 GMT 2024","Tue Mar 05 20:31:45 GMT 2024","4354","Chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:31:45 GMT 2024","Tue Mar 05 20:31:47 GMT 2024","2055","Chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:32:16 GMT 2024","Tue Mar 05 20:32:17 GMT 2024","1447","Microsoft Edge","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:32:31 GMT 2024","Tue Mar 05 20:32:33 GMT 2024","1882","Google Chrome","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:31:50 GMT 2024","Tue Mar 05 20:31:53 GMT 2024","3189","FireFox","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:31:55 GMT 2024","Tue Mar 05 20:31:57 GMT 2024","1674","FireFox","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:32:14 GMT 2024","Tue Mar 05 20:32:16 GMT 2024","2028","Microsoft Edge","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:31:53 GMT 2024","Tue Mar 05 20:31:55 GMT 2024","2613","FireFox","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:32:19 GMT 2024","Tue Mar 05 20:32:31 GMT 2024","12322","Google Chrome","todo.spec.ts","","","","should be able to add a new todo",""
