"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 15:13:22 EST 2024","Fri Mar 01 15:13:25 EST 2024","2570","chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 15:13:27 EST 2024","Fri Mar 01 15:13:34 EST 2024","6828","Microsoft Edge","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 15:13:28 EST 2024","Fri Mar 01 15:13:34 EST 2024","6212","Google Chrome","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 15:13:22 EST 2024","Fri Mar 01 15:13:26 EST 2024","4072","firefox","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 15:13:22 EST 2024","Fri Mar 01 15:13:26 EST 2024","3924","chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 15:13:22 EST 2024","Fri Mar 01 15:13:26 EST 2024","3733","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 15:13:26 EST 2024","Fri Mar 01 15:13:28 EST 2024","2711","firefox","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 15:13:27 EST 2024","Fri Mar 01 15:13:33 EST 2024","5375","Microsoft Edge","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 15:13:27 EST 2024","Fri Mar 01 15:13:33 EST 2024","6270","Microsoft Edge","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Fri Mar 01 15:13:22 EST 2024","Fri Mar 01 15:13:27 EST 2024","4597","firefox","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Fri Mar 01 15:13:33 EST 2024","Fri Mar 01 15:13:35 EST 2024","2001","Google Chrome","user.spec.ts","","","","should be able to register to our application",""
"passed","Fri Mar 01 15:13:29 EST 2024","Fri Mar 01 15:13:34 EST 2024","4991","Google Chrome","todo.spec.ts","","","","should be able to delete a todo",""
